Subject_Objective_21,Distance,Subject_Objective_25,Subject_Objective_40,Subject_or_Unit_19,Subject_or_Unit_6,Subject_Objective_22,Subject_or_Unit_12,Subject_or_Unit_23,Course_Lang,Subject_Description_13,Subject_or_Unit_11,Subject_or_Unit_26,Prerequisite_2,Subject_or_Unit_29,Subject_Description_29,Subject_Description_36,Subject_Objective_14,Subject_or_Unit_32,Subject_Description_27,Subject_or_Unit_20,Subject_or_Unit_10,Subject_Objective_13,Subject_Objective_16,Subject_Objective_29,Subject_Description_6,Subject_Description_28,Subject_or_Unit_7,Subject_or_Unit_13,Level_Code,Currency,Subject_Objective_10,Website,Subject_Description_20,Duration_Time,Subject_Description_4,Offline,Subject_Description_8,Face_to_Face,Subject_Description_19,Subject_Description_34,Subject_Description_38,Subject_or_Unit_33,Subject_or_Unit_40,Subject_Objective_31,Subject_Description_23,Part_Time,Prerequisite_3_grade,Subject_Objective_20,Duration,Subject_or_Unit_5,Subject_or_Unit_9,Subject_Objective_27,Subject_Objective_37,Career_Outcomes,Subject_Description_40,Subject_or_Unit_31,Subject_Objective_24,Currency_Time,Subject_or_Unit_16,Subject_or_Unit_28,Subject_Description_5,Subject_Description_39,Subject_or_Unit_27,Subject_or_Unit_4,Subject_Objective_15,Subject_or_Unit_3,Subject_or_Unit_21,Subject_Objective_12,Faculty,Subject_Objective_4,Subject_Description_31,Subject_Description_37,Subject_Description_21,Subject_Objective_11,Subject_Objective_26,Subject_Description_18,Subject_Description_35,Subject_Description_1,Subject_Description_10,Full_Time,Subject_Objective_2,Subject_or_Unit_30,Subject_or_Unit_37,University,Subject_Description_17,Subject_Objective_28,Subject_Objective_3,Course,Subject_or_Unit_39,Int_Fees,Subject_or_Unit_14,Subject_Objective_17,Subject_Description_32,Subject_Objective_34,Prerequisite_1_grade,Subject_Description_16,Subject_or_Unit_34,Subject_or_Unit_2,Subject_or_Unit_18,Country,Subject_or_Unit_17,Remarks,Subject_Objective_38,Subject_Objective_18,Subject_or_Unit_38,Subject_Objective_30,Subject_Description_26,Online,Subject_Objective_5,Prerequisite_2_grade,Subject_Objective_9,Subject_or_Unit_22,Prerequisite_1,Subject_Description_7,Subject_Description_24,Subject_Description_2,Subject_Description_25,Prerequisite_3,Subject_Description_15,Subject_Description_14,Subject_Description_11,Subject_Description_12,Subject_Description_30,Subject_Objective_39,Subject_Description_33,Subject_Objective_8,Subject_or_Unit_36,Subject_Objective_35,Subject_Objective_36,Subject_or_Unit_25,Subject_Objective_19,City,Subject_or_Unit_35,Subject_Objective_23,Subject_Description_22,Subject_Objective_33,Description,Subject_or_Unit_1,Subject_Objective_7,Subject_or_Unit_24,Local_Fees,Subject_Description_9,Subject_Description_3,Availability,Subject_Objective_6,Subject_or_Unit_8,Subject_or_Unit_15,Blended,Subject_Objective_32
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-applied-fitness,,Years,,yes,,yes,,,,,,,,yes,,,3, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,"Students will develop the skills to work professionally in health promotion careers. These roles may include a Health Promotion Officer or Coordinator, Health & Lifestyle Coordinator, Policy Support Officer, Community Health Development Officer, Community Engagement Officer, Public Health Project Officer, Environmental Health Coordinator, Health and Wellbeing Manager and other positions within government, private or NGOs.",,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,"The Undergraduate Certificate in Fundamentals of Health Promotion is designed to develop an understanding of the social, environmental, political and economic determinants of health. Students will learn the core domains of health promotion including how to plan, advocate, and evaluate policies and programs to bring positive changes to the health of communities using a preventative model. This course is designed for professionals working in Fitness, Allied Health, Health Care or Physical Education looking to upskill or retrain.", Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-applied-fitness,,Years,,yes,,yes,,,,,,,,yes,,,3, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,"Students will develop the skills to work professionally in health promotion careers. These roles may include a Health Promotion Officer or Coordinator, Health & Lifestyle Coordinator, Policy Support Officer, Community Health Development Officer, Community Engagement Officer, Public Health Project Officer, Environmental Health Coordinator, Health and Wellbeing Manager and other positions within government, private or NGOs.",,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The Undergraduate Certificate in Fundamentals of Health Promotion is designed to develop an understanding of the social, environmental, political and economic determinants of health. Students will learn the core domains of health promotion including how to plan, advocate, and evaluate policies and programs to bring positive changes to the health of communities using a preventative model. This course is designed for professionals working in Fitness, Allied Health, Health Care or Physical Education looking to upskill or retrain.", Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/associate-degree-applied-fitness,,Years,,yes,,yes,,,,,,,,yes,,,2, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,Specialised fitness trainer / Strength and conditioning coach / High performance coach or manager / Fitness instructor / group trainer,,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Associate Degree of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,The Associate Degree of Applied Fitness is awarded after successfully undertaking the first two years (when studying full time) of the Bachelor of Applied Fitness., Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/associate-degree-applied-fitness,,Years,,yes,,yes,,,,,,,,yes,,,2, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,Specialised fitness trainer / Strength and conditioning coach / High performance coach or manager / Fitness instructor / group trainer,,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Associate Degree of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,The Associate Degree of Applied Fitness is awarded after successfully undertaking the first two years (when studying full time) of the Bachelor of Applied Fitness., Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,DIP,AUD,,https://acpe.edu.au/future-students/study/courses/diploma-applied-fitness,,Year,,yes,,yes,,,,,,,,yes,,,1, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,Specialised fitness trainer / Fitness instructor / group trainer,,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Diploma of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,The Diploma of Applied Fitness is awarded after successfully completing the first year of the Bachelor of Applied Fitness., Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Musculoskeletal Anatomy & Physiology,, Introduction to Understanding Sport and Fitness Research, Small Business Practices,English,, Strength & Conditioning,,IELTS,,,,,,, Professional Integrity, Applied Exercise Physiology,,,,,, Exercise Prescription Throughout the Lifespan, Principles of Health Promotion,DIP,AUD,,https://acpe.edu.au/future-students/study/courses/diploma-applied-fitness,,Year,,yes,,yes,,,,,,,,yes,,,1, Introduction to Performance and Exercise Psychology, Health & Activity for Diverse Populations,,,Specialised fitness trainer / Fitness instructor / group trainer,,,,year, IT in Fitness,,,,, Introduction to Responsible Fitness Management,, Fitness Principles and Programming, Professional Practice and Reflection in the Fitness Industry,,Computer Science & Information Technology,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Diploma of Applied Fitness,,, Biomechanics,,,,,,, Foundation of Human Biology for Fitness, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,The Diploma of Applied Fitness is awarded after successfully completing the first year of the Bachelor of Applied Fitness., Understanding Health,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Small Business Management – Principles for the Fitness Industry, Exercise & Social Development Through the Lifespan,no,
,no,,, Professional Communication, Accounting for Managers,, Statutory Requirements for Sports Business, Small Business Practices,English,, Sport Recreation and the Law,,IELTS,,,,,,, Professional Integrity, Asset and Risk Management,,,,,, Marketing for the Sport and Recreation Industry, Sport and Human Resource Management,BA,AUD,,https://acpe.edu.au/future-students/study/courses/associate-degree-sports-business,,Years,,yes,,yes,,,,,,,,yes,,,2, IT in Sports Business Management, International Sport Business,,,Sports Manager / Sports Marketer / Sports Event Manager / Athlete Manager,,,,year, Building Relationships in Sports Business,,,,, Administration for the Sport and Recreation Industry,, Application of Maths and Statistics for Health and Sport, Professional Practice and Reflection in the Fitness Industry,,Business & Commerce & Finance & Accounting,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Associate Degree of Sports Business,,, Health Policy and Politics,,,,,,, Sport and the Social Context, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,The knowledge covered in the Associate Degree of Sports Business is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years., Introduction to Sports Business,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Governance and Policy in Sport and Recreation, Leadership in Sport Business,no,
,no,,, Professional Communication, Accounting for Managers,, Statutory Requirements for Sports Business, Small Business Practices,English,, Sport Recreation and the Law,,IELTS,,,,,,, Professional Integrity, Asset and Risk Management,,,,,, Marketing for the Sport and Recreation Industry, Sport and Human Resource Management,BA,AUD,,https://acpe.edu.au/future-students/study/courses/associate-degree-sports-business,,Years,,yes,,yes,,,,,,,,yes,,,2, IT in Sports Business Management, International Sport Business,,,Sports Manager / Sports Marketer / Sports Event Manager / Athlete Manager,,,,year, Building Relationships in Sports Business,,,,, Administration for the Sport and Recreation Industry,, Application of Maths and Statistics for Health and Sport, Professional Practice and Reflection in the Fitness Industry,,Business & Commerce & Finance & Accounting,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Associate Degree of Sports Business,,, Health Policy and Politics,,,,,,, Sport and the Social Context, Mechanics of Prevention and Rehabilitation,Australia, Fitness Industry Trends and Issues,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,The knowledge covered in the Associate Degree of Sports Business is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years., Introduction to Sports Business,, Problem Based Learning: Theme of Fitness for Diverse Populations,,,,,, Governance and Policy in Sport and Recreation, Leadership in Sport Business,no,
,no,,, Finance for the Sport and Recreation Industry, Accounting for Managers,, Statutory Requirements for Sports Business, Event and Project Management,English,, Sport Recreation and the Law,,IELTS,,,,,,, Research in Action (Sports Business), Asset and Risk Management,,,,,, Marketing for the Sport and Recreation Industry, Sport and Human Resource Management,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-business,,Years,,yes,,yes,,,,,,,,yes,,,3, IT in Sports Business Management, International Sport Business,,,Sports Manager / Sports Marketer / Sports Event Manager / Athlete Manager,,,,year, Building Relationships in Sports Business,,,,, Administration for the Sport and Recreation Industry,, Application of Maths and Statistics for Health and Sport, Economics for Sports Business,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Business (Leadership),,, Health Policy and Politics,,,,,,, Sport and the Social Context, Public Relations and Media Management,Australia, Facility and Risk Management,,,,,,,yes,,6.5,, Preparing for the Sport Industry of the Future,,,,,,,,,,,,,,,,,,,,Online,,,,,The knowledge covered in the Bachelor of Sports Business (Leadership) is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years to being a global field in which Australians have earned an enviable reputation for excellence., Introduction to Sports Business,, Entrepreneurship in the Sports Industry,,,,,, Governance and Policy in Sport and Recreation, Leadership in Sport Business,no,
,no,,, Finance for the Sport and Recreation Industry, Accounting for Managers,, Statutory Requirements for Sports Business, Event and Project Management,English,, Sport Recreation and the Law,,IELTS,,,,,,, Research in Action (Sports Business), Asset and Risk Management,,,,,, Marketing for the Sport and Recreation Industry, Sport and Human Resource Management,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-business,,Years,,yes,,yes,,,,,,,,yes,,,3, IT in Sports Business Management, International Sport Business,,,Sports Manager / Sports Marketer / Sports Event Manager / Athlete Manager,,,,year, Building Relationships in Sports Business,,,,, Administration for the Sport and Recreation Industry,, Application of Maths and Statistics for Health and Sport, Economics for Sports Business,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Business (Leadership),,, Health Policy and Politics,,,,,,, Sport and the Social Context, Public Relations and Media Management,Australia, Facility and Risk Management,,,,,,,yes,,6.5,, Preparing for the Sport Industry of the Future,,,,,,,,,,,,,,,,,,,,Sydney,,,,,The knowledge covered in the Bachelor of Sports Business (Leadership) is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years to being a global field in which Australians have earned an enviable reputation for excellence., Introduction to Sports Business,, Entrepreneurship in the Sports Industry,,,,,, Governance and Policy in Sport and Recreation, Leadership in Sport Business,no,
,no,,, Sport Recreation and the Law, Theory and Application of Coaching Sport,, Accounting for Managers, Youth Health and Resilience,English,,Marketing for the Sport and Recreation Industry,,IELTS,,,,,,, Finance for the Sport and Recreation Industry, Strength and Conditioning,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-coaching-management,,Years,,no,,no,,,,,,,,yes,,,3, Musculoskeletal Anatomy and Physiology, Applied Exercise Physiology,,,Head & assistant coaches / High performance manager / Sports development officer,,,,year,Professional Communication,,,,, Administration for the Sport and Recreation Industry,, Officiating, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Coaching (Management),,, Governance and Policy in Sport and Recreation,,,,,,, Coaching Techniques and Pedagogy,Performance Analysis and Research in Coaching,Australia, Professional Integrity,,,,,,,no,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Online,,,,,"The course offers a unique mix of coaching and business subjects, along with a variety of sport science and professional skills.", Skill Acquisition,, Event and Project Management,,,,,, Introduction to Sports Business,Sport and Human Resource Management,yes,
,no,,, Sport Recreation and the Law, Theory and Application of Coaching Sport,, Accounting for Managers, Youth Health and Resilience,English,,Marketing for the Sport and Recreation Industry,,IELTS,,,,,,, Finance for the Sport and Recreation Industry, Strength and Conditioning,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-coaching-management,,Years,,no,,no,,,,,,,,yes,,,3, Musculoskeletal Anatomy and Physiology, Applied Exercise Physiology,,,Head & assistant coaches / High performance manager / Sports development officer,,,,year,Professional Communication,,,,, Administration for the Sport and Recreation Industry,, Officiating, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Coaching (Management),,, Governance and Policy in Sport and Recreation,,,,,,, Coaching Techniques and Pedagogy,Performance Analysis and Research in Coaching,Australia, Professional Integrity,,,,,,,no,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The course offers a unique mix of coaching and business subjects, along with a variety of sport science and professional skills.", Skill Acquisition,, Event and Project Management,,,,,, Introduction to Sports Business,Sport and Human Resource Management,yes,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Theory and Application of Coaching Sport,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-coaching-strength-conditioning,,Years,,yes,,yes,,,,,,,,yes,,,3, Musculoskeletal Anatomy and Physiology, Applied Exercise Physiology,,,Head & assistant coaches / Sports coaching development officers / High performance manager / Strength & conditioning coach / Sports administrators / Director of coaching,,,,year, Professional Communication,,,,, Administration for the Sport and Recreation Industry,, Officiating, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Coaching (Strength & Conditioning),,, Exercise Prescription Throughout the Lifespan,,,,,,, Coaching Techniques and Pedagogy, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Online,,,,,"The course offers a unique mix of coaching, sport science and business subjects, along with a variety of generic professional skills.", Skill Acquisition,, Sports Medicine,,,,,, Introduction to Sports Business, Biochemistry and Nutrition,no,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Theory and Application of Coaching Sport,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-sports-coaching-strength-conditioning,,Years,,yes,,yes,,,,,,,,yes,,,3, Musculoskeletal Anatomy and Physiology, Applied Exercise Physiology,,,Head & assistant coaches / Sports coaching development officers / High performance manager / Strength & conditioning coach / Sports administrators / Director of coaching,,,,year, Professional Communication,,,,, Administration for the Sport and Recreation Industry,, Officiating, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Sports Coaching (Strength & Conditioning),,, Exercise Prescription Throughout the Lifespan,,,,,,, Coaching Techniques and Pedagogy, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The course offers a unique mix of coaching, sport science and business subjects, along with a variety of generic professional skills.", Skill Acquisition,, Sports Medicine,,,,,, Introduction to Sports Business, Biochemistry and Nutrition,no,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Facility and Event Management in Sport Administration,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Leadership in Sports Administration, Biomechanics,PG,AUD,,https://acpe.edu.au/future-students/study/courses/graduate-diploma-sports-administration,,Year,,no,,no,,,,,,,,yes,,,1, Marketing and Media Relations in Sports Administration, Applied Exercise Physiology,,,Sports Administrator / Sports Researcher,,,,year, Professional Communication,,,,, Managerial Accounting and Finance Management in Sports Administration,, Law and Ethics in Sports Administration, Inclusive Coaching,,Business & Commerce & Finance & Accounting,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Graduate Diploma of Sports Administration,,, Exercise Prescription Throughout the Lifespan,,,,,,, Governance, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Online,,,,,The design of the Graduate Diploma in Sports Administration acknowledges the need of the Australian sports industry for administrators who are familiar with the contemporary sports environment., Principles of Sports Administration,, Sports Medicine,,,,,, Research in Sports Administration, Biochemistry and Nutrition,no,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Facility and Event Management in Sport Administration,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Leadership in Sports Administration, Biomechanics,PG,AUD,,https://acpe.edu.au/future-students/study/courses/graduate-diploma-sports-administration,,Year,,no,,no,,,,,,,,yes,,,1, Marketing and Media Relations in Sports Administration, Applied Exercise Physiology,,,Sports Administrator / Sports Researcher,,,,year, Professional Communication,,,,, Managerial Accounting and Finance Management in Sports Administration,, Law and Ethics in Sports Administration, Inclusive Coaching,,Business & Commerce & Finance & Accounting,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Graduate Diploma of Sports Administration,,, Exercise Prescription Throughout the Lifespan,,,,,,, Governance, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Sydney,,,,,The design of the Graduate Diploma in Sports Administration acknowledges the need of the Australian sports industry for administrators who are familiar with the contemporary sports environment., Principles of Sports Administration,, Sports Medicine,,,,,, Research in Sports Administration, Biochemistry and Nutrition,no,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Facility and Event Management in Sport Administration,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Leadership in Sports Administration, Biomechanics,BA,AUD,,https://acpe.edu.au/undergraduatecertificate-in-sport-leadership-development/,,Year,,no,,no,,,,,,,,yes,,,1, Marketing and Media Relations in Sports Administration, Applied Exercise Physiology,,,"Students will develop the necessary skills to work professionally in careers in the sports industry. These roles may include Sports Administrators, Athlete Talent Managers, Sports Business Development Managers, Athlete Agents, Sports Consultant, Sports Business Research and Development Mangers, Sports . These roles can be in sports governing bodies, sports clubs, player associations government agencies and not-for-profit sports organisations.",,,,year, Professional Communication,,,,, Managerial Accounting and Finance Management in Sports Administration,, Law and Ethics in Sports Administration, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Undergraduate Certificate in Sport Leadership Development,,, Exercise Prescription Throughout the Lifespan,,,,,,, Governance, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Online,,,,,"The Undergraduate Certificate in Sport Leadership Development short course is designed to provide professional upskilling, employment and participation in lifelong learning to those that are either currently working in the business of sport or seeking employment within the industry. This Certificate would therefore allow the students to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge as a means to either attain the necessary skills to take on more responsibilities and/or move into leadership positions or to re-engage in the industry in positions requiring key leadership knowledge and skills.", Principles of Sports Administration,, Sports Medicine,,,,,, Research in Sports Administration, Biochemistry and Nutrition,no,
,no,,, Advanced Strength and Conditioning (Work Integrated Learning – WIL), Facility and Event Management in Sport Administration,, Functional Anatomy, Advanced Training Principles and Exercise Prescription,English,, Strength and Conditioning,,IELTS,,,,,,, Sport Recreation and the Law, Athletics and Aquatics Specialisation,,,,,, Leadership in Sports Administration, Biomechanics,BA,AUD,,https://acpe.edu.au/undergraduatecertificate-in-sport-leadership-development/,,Year,,no,,no,,,,,,,,yes,,,1, Marketing and Media Relations in Sports Administration, Applied Exercise Physiology,,,"Students will develop the necessary skills to work professionally in careers in the sports industry. These roles may include Sports Administrators, Athlete Talent Managers, Sports Business Development Managers, Athlete Agents, Sports Consultant, Sports Business Research and Development Mangers, Sports . These roles can be in sports governing bodies, sports clubs, player associations government agencies and not-for-profit sports organisations.",,,,year, Professional Communication,,,,, Managerial Accounting and Finance Management in Sports Administration,, Law and Ethics in Sports Administration, Inclusive Coaching,,Humanities and Social Science,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Undergraduate Certificate in Sport Leadership Development,,, Exercise Prescription Throughout the Lifespan,,,,,,, Governance, Professional Integrity,Australia,Performance Analysis and Research in Coaching,,,,,,,yes,,6.5,, Athlete Talent Identification and Development,,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The Undergraduate Certificate in Sport Leadership Development short course is designed to provide professional upskilling, employment and participation in lifelong learning to those that are either currently working in the business of sport or seeking employment within the industry. This Certificate would therefore allow the students to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge as a means to either attain the necessary skills to take on more responsibilities and/or move into leadership positions or to re-engage in the industry in positions requiring key leadership knowledge and skills.", Principles of Sports Administration,, Sports Medicine,,,,,, Research in Sports Administration, Biochemistry and Nutrition,no,
